Business / Practice Name,Dentist / Owner Name,Specialty,Phone Number,Email Address,Full Address,City,State/Region,Country,Google Maps URL,Existing Website URL,Website Status,Website Quality Notes,Instagram URL,Facebook URL,Lead Source,Lead Score,Reason for Score,Outreach Status,Notes
"Best Dentists Near Me in Austin, Texas",N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Best%20Dentists%20Near%20Me%20in%20Austin%2C%20Texas%20Austin%20TX,https://www.deltadental.com/member/find-a-dentist/texas/austin-dentists/,Poor/Outdated Website,Slow page load time (7.3s),,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"General Dentistry Near Me In Austin 78714, Austin",N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=General%20Dentistry%20Near%20Me%20In%20Austin%2078714%2C%20Austin%20Austin%20TX,https://www.practo.com/austin/doctors-for-general-dentistry/austin-78714,Poor/Outdated Website,Outdated copyright year (2017),,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"Family Dentistry in Austin, TX",N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Family%20Dentistry%20in%20Austin%2C%20TX%20Austin%20TX,https://www.austindentalspa.com/dentist-austin-tx/,Poor/Outdated Website,Outdated copyright year (2013),,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"The Best Cosmetic Dentists in Austin, According to Locals",N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=The%20Best%20Cosmetic%20Dentists%20in%20Austin%2C%20According%20to%20Locals%20Austin%20TX,https://www.statesman.com/best/map/best-cosmetic-dentists-austin/,Poor/Outdated Website,Slow page load time (4.8s),,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Family Dentistry on Manchaca,N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Family%20Dentistry%20on%20Manchaca%20Austin%20TX,https://familydentistryonmanchaca.com/,Poor/Outdated Website,Slow page load time (6.3s),,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"The Best Dentists in Austin, According to Locals",N/A (Public record not listed),General Dentistry,512-452-9296,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=The%20Best%20Dentists%20in%20Austin%2C%20According%20to%20Locals%20Austin%20TX,https://www.statesman.com/best/map/best-dentists-austin/,Good Website,Modern responsive site (2.9s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
Tech Ridge Dental,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Tech%20Ridge%20Dental%20Austin%20TX,https://www.techridgedental.com/,Good Website,Modern responsive site (2.7s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
KoLa Family & Cosmetic Dentistry,N/A (Public record not listed),Cosmetic Dentistry,512-472-5633,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=KoLa%20Family%20%26%20Cosmetic%20Dentistry%20Austin%20TX,https://www.koladentistry.com/,Good Website,Modern responsive site (3.2s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
"Dentist in Austin, TX",N/A (Public record not listed),Cosmetic Dentistry,512-430-4472,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Dentist%20in%20Austin%2C%20TX%20Austin%20TX,https://dentistinaustintx.com/,Good Website,Modern responsive site (2.0s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
"Family Dentist in Austin, TX",N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Family%20Dentist%20in%20Austin%2C%20TX%20Austin%20TX,https://austinfamilydds.com/,Good Website,Modern responsive site (3.2s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
The Downtown Austin Dentist,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=The%20Downtown%20Austin%20Dentist%20Austin%20TX,https://thedowntownaustindentist.com/,Good Website,Modern responsive site (1.4s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
"Dentist Jobs, Employment in Austin, TX",N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Dentist%20Jobs%2C%20Employment%20in%20Austin%2C%20TX%20Austin%20TX,"https://www.indeed.com/q-dentist-l-austin,-tx-jobs.html",Good Website,Modern responsive site (2.8s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
"Quality Dentistry, Honestly Delivered",N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Quality%20Dentistry%2C%20Honestly%20Delivered%20Austin%20TX,https://www.austindentalco.com/,Good Website,Modern responsive site (1.6s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
Austin Artistic Dental,N/A (Public record not listed),General Dentistry,(512) 292-9209,austinartisticdental@gmail.com,"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Austin%20Artistic%20Dental%20Austin%20TX,https://austinartisticdental.com/,Good Website,Modern responsive site (2.7s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +15: Public Phone Number Available | +15: Public Email/Social Available,New,Scraped via Public Web Search
Family dentist in Austin & Round Rock,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Family%20dentist%20in%20Austin%20%26%20Round%20Rock%20Austin%20TX,https://www.forestfamily.com/,Good Website,Modern responsive site (0.8s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
Dentist in Mueller,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Dentist%20in%20Mueller%20Austin%20TX,https://mydentalsmiles.com/,Good Website,Modern responsive site (2.6s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
Family Dentist in Austin,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Family%20Dentist%20in%20Austin%20Austin%20TX,https://www.pecanparkdentistry.com/,Good Website,Modern responsive site (0.8s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
Cosmetic Dentists Austin TX,N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Cosmetic%20Dentists%20Austin%20TX%20Austin%20TX,https://www.thecosmeticdentistsofaustin.com/,Good Website,Modern responsive site (3.8s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
"Home — Parmer Lane Family Dentistry — Austin, TX",N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Home%20%E2%80%94%20Parmer%20Lane%20Family%20Dentistry%20%E2%80%94%20Austin%2C%20TX%20Austin%20TX,https://keepaustinsmiling.com/,Good Website,Modern responsive site (2.1s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
"Dentists in Austin, TX",N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Dentists%20in%20Austin%2C%20TX%20Austin%20TX,https://www.glauserfamilydentistry.com/,Good Website,Modern responsive site (0.9s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
Austin Cosmetic Dentistry,Dr. Tejas Patel and his team offer porcelain veneers and smile makeovers in Austin,Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Austin%20Cosmetic%20Dentistry%20Austin%20TX,https://austincosmetic.com/,Good Website,Modern responsive site (2.4s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +10: Doctor Identified (Dr. Tejas Patel and his team offer porcelain veneers and smile makeovers in Austin),New,Scraped via Public Web Search
Cosmetic Dentistry In Austin TX,Dr. Tejas Patel and his team in Austin TX. Find out how to improve your smile with teeth whitening,Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Cosmetic%20Dentistry%20In%20Austin%20TX%20Austin%20TX,https://austincosmetic.com/cosmetic-dentistry/,Good Website,Modern responsive site (1.8s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +10: Doctor Identified (Dr. Tejas Patel and his team in Austin TX. Find out how to improve your smile with teeth whitening),New,Scraped via Public Web Search
Cosmetic Dentistry Austin TX,N/A (Public record not listed),Cosmetic Dentistry,512-328-4411,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Cosmetic%20Dentistry%20Austin%20TX%20Austin%20TX,https://www.thecosmeticdentistsofaustin.com/cosmetic-dentistry/,Good Website,Modern responsive site (1.9s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
Cosmetic Dentistry,Dr. Joseph Schmidt,Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Cosmetic%20Dentistry%20Austin%20TX,https://www.theatxdentist.com/cosmetic-dentistry-2/,Good Website,Modern responsive site (2.5s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +10: Doctor Identified (Dr. Joseph Schmidt),New,Scraped via Public Web Search
Dentist in Austin,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"West Slaughter Lane, Austin, TX 78748",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Dentist%20in%20Austin%20Austin%20TX,https://dentistinaustintx.com/,Good Website,Modern responsive site (2.8s),,,OpenStreetMap Registry,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via OpenStreetMap Registry
