Business / Practice Name,Dentist / Owner Name,Specialty,Phone Number,Email Address,Full Address,City,State/Region,Country,Google Maps URL,Existing Website URL,Website Status,Website Quality Notes,Instagram URL,Facebook URL,Lead Source,Lead Score,Reason for Score,Outreach Status,Notes
"Dentist in Tampa, FL",N/A (Public record not listed),General Dentistry,(813) 773-0192,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Dentist%20in%20Tampa%2C%20FL%20Tampa%20FL,https://northtampafamilydental.com/,Poor/Outdated Website,Slow page load time (4.1s),,,Public Web Search,70,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
"Dentist in Tampa FL, Family and Cosmetic Dentistry 33613",N/A (Public record not listed),Cosmetic Dentistry,813-988-9276,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Dentist%20in%20Tampa%20FL%2C%20Family%20and%20Cosmetic%20Dentistry%2033613%20Tampa%20FL,https://www.ismiletampa.com/,Poor/Outdated Website,Slow page load time (6.9s),,,Public Web Search,70,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
"Dentistry in New Tampa, Fl",N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Dentistry%20in%20New%20Tampa%2C%20Fl%20Tampa%20FL,https://newtampasmile.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Tampa Bay Dentist,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Tampa%20Bay%20Dentist%20Tampa%20FL,https://tampabayfamilydentist.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Seminole Heights Family Dentistry,N/A (Public record not listed),Pediatric Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Seminole%20Heights%20Family%20Dentistry%20Tampa%20FL,https://www.sh-dentist.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"Family Dentistry North Tampa, FL",N/A (Public record not listed),Pediatric Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Family%20Dentistry%20North%20Tampa%2C%20FL%20Tampa%20FL,https://northtampafamilydental.com/services/family-dentistry/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Tampa Family Dentistry,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Tampa%20Family%20Dentistry%20Tampa%20FL,https://mynewtampadentist.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Tampa: Family Dental Practices,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Tampa%3A%20Family%20Dental%20Practices%20Tampa%20FL,https://fun4tampakids.com/Health-Resources/Family-Dental-Practices/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Christine Grant,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"West Swann Avenue, Tampa, FL 33606",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Christine%20Grant%20Tampa%20FL,https://www.christinegrantdmd.com/,No Website,Domain Inaccessible / Connection Refused,,,OpenStreetMap Registry,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via OpenStreetMap Registry
Top Orthodontist,N/A (Public record not listed),Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Top%20Orthodontist%20Tampa%20FL,https://bluewaveortho.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Generations Cosmetic and Family Dentistry,N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"West Cypress Street, Tampa, FL 33609",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Generations%20Cosmetic%20and%20Family%20Dentistry%20Tampa%20FL,https://gendentistry.com/,No Website,Domain Inaccessible / Connection Refused,,,OpenStreetMap Registry,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via OpenStreetMap Registry
"Orthodontist in Tampa, FL",N/A (Public record not listed),Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Orthodontist%20in%20Tampa%2C%20FL%20Tampa%20FL,https://www.brightnow.com/dental-office/tampa-dentist/21220/orthodontist-service-tampa-fl/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"Book 100+ of the best Dentists near me in Tampa, FL",Dr. Masroor Shariff,General Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Book%20100%2B%20of%20the%20best%20Dentists%20near%20me%20in%20Tampa%2C%20FL%20Tampa%20FL,https://www.zocdoc.com/dentists/tampa-225563pm,Poor/Outdated Website,HTTP Error Status 403,,,Public Web Search,65,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. Masroor Shariff),New,Scraped via Public Web Search
Orthodontist Tampa FL,Dr. William Marsh of Marsh Orthodontics is your Tampa,Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Orthodontist%20Tampa%20FL%20Tampa%20FL,https://www.marshsmiles.com/,Poor/Outdated Website,SSL/TLS Security Certificate Error,,,Public Web Search,65,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. William Marsh of Marsh Orthodontics is your Tampa),New,Scraped via Public Web Search
"General & Cosmetic Dentist in Tampa, FL",Dr. Fadi Raffoul,Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=General%20%26%20Cosmetic%20Dentist%20in%20Tampa%2C%20FL%20Tampa%20FL,https://tampapalmsdentistry.com/,Poor/Outdated Website,Slow page load time (8.0s),,,Public Web Search,65,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. Fadi Raffoul),New,Scraped via Public Web Search
"Dentist, Tampa — Tomlinson Dental, Tampa Florida",Dr. Tomlinson provides prosthodontic dental services,Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Dentist%2C%20Tampa%20%E2%80%94%20Tomlinson%20Dental%2C%20Tampa%20Florida%20Tampa%20FL,https://www.tomlinsondentalcare.com/,Poor/Outdated Website,HTTP Error Status 403,,,Public Web Search,65,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. Tomlinson provides prosthodontic dental services),New,Scraped via Public Web Search
Dentist Tampa FL,Dr. Redd is your local dentist in Tampa,Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Dentist%20Tampa%20FL%20Tampa%20FL,https://tampasmiles.com/,Poor/Outdated Website,Slow page load time (4.8s),,,Public Web Search,65,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. Redd is your local dentist in Tampa),New,Scraped via Public Web Search
"Tomlinson Dental, Tampa FL",Dr. Tomlinson provides prosthodontic dental services,Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Tomlinson%20Dental%2C%20Tampa%20FL%20Tampa%20FL,https://www.tomlinsondentalcare.com/,Poor/Outdated Website,HTTP Error Status 403,,,Public Web Search,65,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. Tomlinson provides prosthodontic dental services),New,Scraped via Public Web Search
"Best Dentists Near Me in Tampa, Florida",N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Best%20Dentists%20Near%20Me%20in%20Tampa%2C%20Florida%20Tampa%20FL,https://www.deltadental.com/member/find-a-dentist/florida/tampa-dentists/,Poor/Outdated Website,Slow page load time (9.0s),,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Smiles Tampa,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Smiles%20Tampa%20Tampa%20FL,https://smiles-tampa.com/,Poor/Outdated Website,HTTP Error Status 503,,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"Tampa, FL Orthodontics",N/A (Public record not listed),Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Tampa%2C%20FL%20Orthodontics%20Tampa%20FL,https://farinasmiles.com/,Poor/Outdated Website,HTTP Error Status 403,,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Tampa Advanced Dental Solutions,N/A (Public record not listed),Oral Surgery,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Tampa%20Advanced%20Dental%20Solutions%20Tampa%20FL,https://www.tampasmiles.net/,Poor/Outdated Website,SSL/TLS Security Certificate Error,,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"Tampa Orthodontics Near Me: Braces in Tampa, FL",N/A (Public record not listed),Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Tampa%20Orthodontics%20Near%20Me%3A%20Braces%20in%20Tampa%2C%20FL%20Tampa%20FL,https://www.coastdental.com/dentist-office/dentist-tampa/orthodontist-tampa,Poor/Outdated Website,Slow page load time (663.7s),,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Dental Office of Tampa Home,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Dental%20Office%20of%20Tampa%20Home%20Tampa%20FL,https://www.dentalofficeoftampa.com/,Poor/Outdated Website,Slow page load time (4.1s),,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Top Dentists List,N/A (Public record not listed),Oral Surgery,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Top%20Dentists%20List%20Tampa%20FL,https://tampamagazines.com/top-dentists-list/,Poor/Outdated Website,Slow page load time (7.4s),,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"Dentist in Tampa, Florida",N/A (Public record not listed),General Dentistry,(813) 333-0633,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Dentist%20in%20Tampa%2C%20Florida%20Tampa%20FL,https://mytampadentistry.com/,Good Website,Modern responsive site (2.0s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
Top South Tampa Dentist,N/A (Public record not listed),Pediatric Dentistry,(813) 253-3679,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Top%20South%20Tampa%20Dentist%20Tampa%20FL,https://www.yoursouthtampadentist.com/,Good Website,Modern responsive site (1.2s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
Trusted Tampa Dental clinic,N/A (Public record not listed),Endodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Trusted%20Tampa%20Dental%20clinic%20Tampa%20FL,https://newtampasmile.com/,Good Website,Modern responsive site (2.6s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
"20 Best Dentists Near Me in Tampa, FL",N/A (Public record not listed),Oral Surgery,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=20%20Best%20Dentists%20Near%20Me%20in%20Tampa%2C%20FL%20Tampa%20FL,https://www.opencare.com/dentists/tampa-fl/,Good Website,Modern responsive site (2.4s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
DWIC – Treating all of your dental needs and Emergencies.,N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=DWIC%20%E2%80%93%20Treating%20all%20of%20your%20dental%20needs%20and%20Emergencies.%20Tampa%20FL,https://dentalwalkin.com/,Good Website,Modern responsive site (2.7s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
Dental Treatments Tampa FL,N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Dental%20Treatments%20Tampa%20FL%20Tampa%20FL,https://www.moderndaysmiles.com/treatments/tampa,Good Website,Modern responsive site (2.9s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice,New,Scraped via Public Web Search
Goodnight Orthodontics,Dr. Mark Goodnight and Dr. Spencer Mathews of Goodnight Orthodontics are your Tampa,Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Goodnight%20Orthodontics%20Tampa%20FL,https://www.goodnightortho.com/,Good Website,Modern responsive site (1.8s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +10: Doctor Identified (Dr. Mark Goodnight and Dr. Spencer Mathews of Goodnight Orthodontics are your Tampa),New,Scraped via Public Web Search
"Tampa, FL Orthodontist",Dr. Bowen is a board-certified orthodontist who offers the greatest level of care to patients in Tampa.,Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Tampa%2C%20FL%20Orthodontist%20Tampa%20FL,https://imagineorthostudio.com/location/orthodontist-tampa/,Good Website,Modern responsive site (1.9s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +10: Doctor Identified (Dr. Bowen is a board-certified orthodontist who offers the greatest level of care to patients in Tampa.),New,Scraped via Public Web Search
South Tampa Dental Studio,N/A (Public record not listed),Endodontics,813.356.0555,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=South%20Tampa%20Dental%20Studio%20Tampa%20FL,https://southtampadentalstudio.com/,Good Website,Modern responsive site (3.6s),,,Public Web Search,0,-50: Existing Good Website | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
